date_sign_up,customer_id,product_name,marketing_channel,City
4/17/18 13:11,71041,Classic - 3 meals per week for 2 people,Search Engine Marketing,San Diego 
4/14/18 11:32,103289,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:53,107746,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 16:08,157441,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/18/18 08:04,158646,Classic - 3 meals per week for 2 people,Newsletters (internal),San Diego 
4/18/18 15:41,178843,3 Meals (vegetarian) for 2 people,TV / Radio Advertising,Miami
4/15/18 09:45,179297,Classic - 3 meals per week for 2 people,Newsletters (internal),Philadelphia
4/15/18 08:21,182439,3 Meals (vegetarian) for 2 people,Newsletters (internal),San Francisco
4/17/18 06:57,186180,Classic - 3 meals per week for 2 people,Partnership Marketing,San Diego 
4/19/18 20:39,190396,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Miami
4/14/18 10:26,194229,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/13/18 20:17,194353,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/15/18 14:43,200286,Classic - 3 meals per week for 2 people,Search Engine Marketing,Philadelphia
4/16/18 07:35,201307,Classic - 3 meals per week for 2 people,TV / Radio Advertising,1San Diego
4/15/18 06:54,203319,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 08:35,205233,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/13/18 12:08,205322,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/16/18 05:04,205611,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Diego 
4/15/18 12:17,208066,3 Meals (vegetarian) for 4 people,Newsletters (internal),Philadelphia
4/14/18 17:42,208079,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/15/18 09:58,209055,Classic - 3 meals per week for 2 people,Newsletters (internal),Philadelphia
4/14/18 05:51,213420,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/15/18 20:30,213584,Classic - 3 meals per week for 4 people,Newsletters (internal),San Diego 
4/14/18 15:43,213711,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/16/18 09:35,214129,Classic - 3 meals per week for 4 people,Search Engine Marketing,San Diego
4/13/18 08:10,214667,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/15/18 18:56,214779,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Philadelphia
4/17/18 05:14,215253,Classic - 3 meals per week for 2 people,Newsletters (internal),San Diego 
4/13/18 17:48,215309,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 17:02,215319,Classic - 3 meals per week for 4 people,Newsletters (internal),Washington
4/14/18 17:21,215332,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/13/18 08:50,215381,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 16:38,215386,3 Meals (vegetarian) for 2 people,TV / Radio Advertising,Washington
4/16/18 09:30,215505,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Diego
4/13/18 09:09,215561,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 02:24,215609,Classic - 3 meals per week for 2 people,Newsletters (internal),New York
4/13/18 04:27,215627,Classic - 3 meals per week for 2 people,Newsletters (internal),New York
4/13/18 05:00,215635,Classic - 3 meals per week for 2 people,Partnership Marketing,New York
4/13/18 05:15,215640,Classic - 3 meals per week for 4 people,TV / Radio Advertising,New York
4/13/18 05:22,215642,Classic - 3 meals per week for 2 people,TV / Radio Advertising,New York
4/13/18 05:46,215662,3 Meals (vegetarian) for 2 people,Search Engine Marketing,New York
4/13/18 06:15,215668,3 Meals (vegetarian) for 2 people,Newsletters (internal),New York
4/13/18 06:23,215686,Classic - 3 meals per week for 2 people,TV / Radio Advertising,New York
4/13/18 07:02,215723,Classic - 3 meals per week for 4 people,Search Engine Marketing,New York
4/13/18 07:16,215757,Classic - 3 meals per week for 2 people,Newsletters (internal),New York
4/13/18 07:26,215760,Classic - 3 meals per week for 2 people,Partnership Marketing,New York
4/13/18 07:29,215768,Classic - 3 meals per week for 2 people,Newsletters (internal),New York
4/13/18 07:32,215777,Classic - 3 meals per week for 2 people,TV / Radio Advertising,New York
4/13/18 07:58,215811,Classic - 3 meals per week for 2 people,Newsletters (internal),New York
4/13/18 08:09,215827,Classic - 3 meals per week for 2 people,Partnership Marketing,New York
4/13/18 08:12,215835,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 14:06,215845,Classic - 3 meals per week for 4 people,Newsletters (internal),Chicago
4/13/18 08:21,215849,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 08:35,215866,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 08:38,215886,3 Meals (vegetarian) for 2 people,Partnership Marketing,Chicago
4/13/18 08:45,215899,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 08:50,215911,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/18 09:01,215926,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 09:21,215957,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 09:22,215960,Classic - 3 meals per week for 4 people,Partnership Marketing,Chicago
4/13/18 09:30,215976,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 09:36,215980,Classic - 3 meals per week for 4 people,Search Engine Marketing,Chicago
4/13/18 09:38,215992,3 Meals (vegetarian) for 2 people,TV / Radio Advertising,Chicago
4/13/18 10:01,216034,Classic - 3 meals per week for 4 people,Newsletters (internal),Chicago
4/13/18 10:14,216038,Classic - 3 meals per week for 4 people,TV / Radio Advertising,Chicago
4/13/18 13:01,216049,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 10:23,216058,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/18 10:19,216066,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 10:24,216079,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/18 10:56,216141,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 11:00,216146,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 11:21,216171,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 11:43,216213,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 11:46,216218,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/18 11:52,216226,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/18 12:38,216327,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/18 12:40,216331,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 13:11,216401,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/18 13:17,216422,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 13:30,216453,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 13:34,216463,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 13:39,216466,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/18 13:44,216479,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 14:12,216487,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 13:56,216509,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/18 14:21,216561,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/18 14:23,216563,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 14:33,216587,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 14:50,216617,3 Meals (vegetarian) for 4 people,Newsletters (internal),Washington
4/13/18 15:38,216669,Classic - 3 meals per week for 4 people,Newsletters (internal),Washington
